Josh Hartnett,45718
William Hurt,74503400
Liev Schreiber,16417213
Charlton Heston,79426161
Tommy Lee Jones,88956281
Ioan Gruffudd,43478283
Paul Sanchez,4632220
Brendan Fraser,57219513
Philip Seymour Hoffman,69919865
Seann William Scott,151234685
Simon Merrells,7588663
Sam Worthington,38715291
Brandon Routh,18104909
Travis Fimmel,28949466
Jonah Hill,114847164
Kenneth Branagh,22278713
Julian Glover,11055595
Robert Pattinson,97349759
Adam Driver,153374516
Skandar Keynes,178981360
Timothy Spall,20769943
Jerry Seinfeld,20311407
Heath Ledger,72457700
Harry Melling,254396861
Josh Hutcherson,132569239
Guy Pearce,873419
Gabriel Byrne,927877
Craig T. Nelson,90746064
Trombone Shorty,61194602
Zach Galifianakis,18953270
Colin Farrell,93196236
Michael Jordan,125100000
Bill Nighy,12194110
James Caan,1204356
Harrison Ford,184932277
Alec Baldwin,5792276
Adam Beach,53292861
Mike Myers,119637182
Justin Long,17632805
Andrew Garfield,33468578
Robert Downey Jr.,362607942
Tom Cruise,183502020
Robert Duvall,41881203
Pierce Brosnan,5864146
Justin Timberlake,85437510
Jake Gyllenhaal,37667610
Jeremy Irons,60054917
David Duchovny,1490086
Hayden Christensen,19093528
Lucas Black,39317834
Orlando Bloom,121024732
Matthew Modine,94832511
Daniel Craig,372774112
Neel Sethi,481950561
Johnny Depp,104642616
Martin Freeman,231173787
Brad Pitt,85343206
Djimon Hounsou,100085346
Channing Tatum,96576880
Bill Murray,91776617
Dwayne Johnson,65769648
Gene Hackman,86959802
Kevin Kline,23392420
Owen Wilson,20660375
Tobey Maguire,30746754
Val Kilmer,13903580
Wes Bentley,68062699
Said Faraj,70230106
Jason Segel,86667042
Stanley Tucci,80578374
Larry Guy the Cable,2560395
John Cusack,9379170
Eric Sykes,62803362
Sam Neill,7443792
Logan Lerman,60649587
Tom Hanks,57619771
Antonio Banderas,20112518
Hugh Jackman,87210690
Martin Hancock,5269023
Hiroyuki Sanada,116984074
Ray Galletti,3310593
Michael Keaton,136682184
Matt Long,16354308
Ed Harris,58415215
Liam Neeson,5982169
Nicholas Elia,17398094
Matt Damon,136623867
Steve Martin,39767901
Barry Pepper,80745497
Patton Oswalt,1945670
Kurt Russell,53252595
Robin Williams,43834938
