Men with Brooms,Michelle Nolden
Vampires Suck,Ken Jeong
The Road,Molly Parker
Yes Man,Rhys Darby
Gremlins,Susan Burgess
Life of Pi,Adil Hussain
Les petits mouchoirs,Jean Dujardin
Before Midnight,Charlotte Prior
Kingpin,Chris Elliott
Videodrome,Leslie Carlson
Cradle 2 the Grave,Tom Arnold
The Order,"Mark Addy,Peter Weller"
Red Dog,Arthur Angel
The Ice Storm,Tobey Maguire
Six Days Seven Nights,Temuera Morrison
The Butterfly Effect,William Lee Scott
Flyboys,Todd Boyce
Eight Legged Freaks,Doug E. Doug
The Mechanic,Jeff Chase
We Need to Talk About Kevin,Rock Duer
Side Effects,"Channing Tatum,Polly Draper"
The Faculty,Shawn Hatosy
Wild Card,"Hope Davis,Milo Ventimiglia"
Albino Alligator,Viggo Mortensen
Yi ge ren de wu lin,Alex Fong
The Blind Side,Lily Collins
Rob Roy,Eric Stoltz
Pale Rider,Richard Dysart
Blade,Donal Logue
The Apostle,Mary Lynette Braxton
Alvin and the Chipmunks: The Squeakquel,Matthew Gray Gubler
We're the Millers,Ed Helms
Lockout,Lennie James
Straight Out of Brooklyn,Reana E. Drummond
Anomalisa,Tom Noonan
Domestic Disturbance,Vince Vaughn
The Squid and the Whale,William Baldwin
The Muppets,Steve Whitmire
Enough,Dan Futterman
Mars Needs Moms,Mindy Sterling
Captive,David Oyelowo
Hercules,"Danny DeVito,James Woods"
Fantastic Mr. Fox,Wallace Wolodarsky
Guess Who,Hal Williams
The Country Bears,Brad Garrett
Riding in Cars with Boys,James Woods
Paul,Jeffrey Tambor
The Diary of a Teenage Girl,"Kristen Wiig,Abby Wait"
Kinsey,Timothy Hutton
The Rose,Barry Primus
The Crazies,Christie Lynn Smith
The Jimmy Show,Jillian Stacom
Dancer in the Dark,"Peter Stormare,Joel Grey"
Evan Almighty,Graham Phillips
John Carter,Thomas Haden Church
History of the World: Part I,"Harvey Korman,Cloris Leachman"
The Yards,Ellen Burstyn
Malevolence,Courtney Bertolone
Ayurveda: Art of Being,Brahmanand Swamigal
Cat People,"Annette O'Toole,Ruby Dee"
Tracker,Daniel Musgrove
Gridiron Gang,Kevin Dunn
Teen Wolf Too,James Hampton
Born to Fly: Elizabeth Streb vs. Gravity,Leonardo Giron
Letters to God,Ralph Waite
Before Sunrise,"Andrea Eckert,Karl Bruckschwaiger"
Spun,Patrick Fugit
The Amazing Spider-Man,Martin Sheen
Krull,Alun Armstrong
Looney Tunes: Back in Action,Heather Locklear
Bedtime Stories,Richard Griffiths
Raise Your Voice,Johnny Lewis
Brooklyn's Finest,Will Patton
The Sweet Hereafter,Gabrielle Rose
Thunderball,Rik Van Nutter
Battle for the Planet of the Apes,Lew Ayres
Gosford Park,Charles Dance
The Hateful Eight,"Jennifer Jason Leigh,Walton Goggins"
Twilight,"Billy Burke,Gil Birmingham"
How to Lose a Guy in 10 Days,Adam Goldberg
Real Women Have Curves,Brian Sites
Made,Makenzie Vega
The Ballad of Jack and Rose,Paul Dano
Man of Steel,Russell Crowe
I Am Legend,Willow Smith
The Gift,"Allison Tolman,Tim Griffin"
A Cock and Bull Story,Raymond Waring
Sholem Aleichem: Laughing in the Darkness,Peter Riegert
Bloody Sunday,Carmel McCallion
Real Steel,Kevin Durand
Skyline,Neil Hopkins
Addicted,Emayatzy Corinealdi
The Good Heart,"Bill Buell,Susan Blommaert"
The Blood of Heroes,Gandhi MacIntyre
Knocked Up,Jason Segel
The Cable Guy,George Segal
2046,Ziyi Zhang
X-Men,James Marsden
Street Fighter: The Legend of Chun-Li,Moon Bloodgood
Maid in Manhattan,Tyler Posey
The Day After Tomorrow,Jay O. Sanders
The Adventures of Elmo in Grouchland,Roscoe Orman
The Assassination of Jesse James by the Coward Robert Ford,Casey Affleck
Sugar Town,Larry Klein
Confessions of a Dangerous Mind,Chelsea Ceci
Man of the Year,Jeff Goldblum
Oscar and Lucinda,"Tom Wilkinson,Richard Roxburgh"
Urbania,Josh Hamilton
Wonderland,Dylan McDermott
Home,Matt Jones
Good Boy!,George Touliatos
Snow White and the Seven Dwarfs,Pinto Colvig
Do the Right Thing,Giancarlo Esposito
Little Fockers,Barbra Streisand
Captain America: The First Avenger,Hugo Weaving
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Kerris Dorsey
Reno 911!: Miami,Mary Birdsong
Syriana,"Christopher Plummer,Jeffrey Wright"
Rounders,Ray Iannicelli
Insidious: Chapter 2,Barbara Hershey
Oliver Twist,Timothy Bateson
Basic,Giovanni Ribisi
Epic,Todd Cummings
Pompeii,Jessica Lucas
Jumper,Samuel L. Jackson
Birthday Girl,Kate Lynn Evans
Lifeforce,Patrick Stewart
The Wedding Planner,Judy Greer
The Sweetest Thing,Linda Asuma
Half Baked,"Harland Williams,Rachel True"
Unfriended,Moses Storm
Ghost World,Illeana Douglas
Killers,Katheryn Winnick
Scrooged,Bobcat Goldthwait
Drive Me Crazy,William Converse-Roberts
Anacondas: The Hunt for the Blood Orchid,Eugene Byrd
Inspector Gadget,Andy Dick
All About the Benjamins,Eva Mendes
Say It Isn't So,Richard Jenkins
Oculus,Annalise Basso
Battle Los Angeles,Jim Parrack
The Upside of Anger,Alicia Witt
Con Air,John Malkovich
Money Talks,Paul Sorvino
The Revenant,Forrest Goodluck
"I Love You, Beth Cooper",Lauren Storm
The Last Godfather,Jon Polito
Ondine,Marion O'Dwyer
Gone with the Wind,Ann Rutherford
Barnyard,Wanda Sykes
Here on Earth,Annie Corley
Step Up 2: The Streets,Danielle Polanco
The Heat,"Marlon Wayans,Michael Rapaport"
The Campaign,Katherine LaNasa
Evita,Victoria Sus
Reindeer Games,Tom Heaton
Shakespeare in Love,Joseph Fiennes
Poolhall Junkies,Mars Callahan
The Little Prince,Riley Osborne
16 Blocks,Casey Sander
How to Train Your Dragon 2,America Ferrera
Iron Man 2,Sam Rockwell
Charlie's Angels,Sam Rockwell
Toy Story 3,Don Rickles
Return to Oz,Matt Clark
Our Family Wedding,Lance Gross
Crazy/Beautiful,Miguel Castro
Hope Springs,Ben Rappaport
The Apartment,Jack Kruschen
Amour,William Shimell
The Train,Michel Simon
Safety Not Guaranteed,Jake Johnson
Begin Again,Yasiin Bey
Butterfly Girl,Emily Gorell
Super 8,Zach Mills
Quigley Down Under,Ron Haddrick
Tropa de Elite,"Milhem Cortaz,Fernanda Machado"
Fahrenheit 9/11,Richard Gephardt
The Walk,"Mark Trafford,Inka Malovic"
The Act of Killing,Yapto Soerjosoemarno
Edmond,Denise Richards
Ramona and Beezus,Ginnifer Goodwin
Witchboard,Burke Byrnes
Prophecy,Victoria Racimo
Weekend,Loreto Murray
The Hangover Part II,Ken Jeong
Earth to Echo,Jason Gray-Stanford
Wild Things,Denise Richards
The Horse Whisperer,Scarlett Johansson
The Invention of Lying,Jeffrey Tambor
Hands of Stone,Ana de Armas
Eyes Wide Shut,Rade Serbedzija
"I, Frankenstein",Jai Courtney
Getaway,Paul Freeman
Good Will Hunting,"Ben Affleck,Minnie Driver"
Spy Hard,Barry Bostwick
Not Cool,Michelle Veintimilla
Sex and the City 2,Minglie Chen
The Twilight Saga: Eclipse,Justin Chon
The Thomas Crown Affair,Frankie Faison
The Jacket,Kelly Lynch
Wild,Michiel Huisman
Johnny Suede,Calvin Levels
Spaceballs,Daphne Zuniga
Beverly Hills Chihuahua,"Jamie Lee Curtis,Maury Sterling"
Thinner,Howard Erskine
Jupiter Ascending,Douglas Booth
Ali,Ron Silver
Super Troopers,"Erik Stolhanske,Jay Chandrasekhar"
Lola rennt,Armin Rohde
Sicario,Jon Bernthal
Heaven Is for Real,Lane Styles
Sphere,Liev Schreiber
Clockstoppers,"Michael Biehn,Robin Thomas"
Chasseurs de dragons,Marie Drion
Get Low,Gerald McRaney
Wolf,Richard Jenkins
To Kill a Mockingbird,Ruth White
Trust,Viola Davis
The Flintstones,Kyle MacLachlan
Brazil,Bob Hoskins
Iron Man,Leslie Bibb
Endless Love,Robert Patrick
The Brothers Bloom,Robbie Coltrane
Michael Clayton,Tilda Swinton
My Favorite Martian,Wallace Shawn
The Great Escape,Charles Bronson
Saved!,Heather Matarazzo
Elektra,Cary-Hiroyuki Tagawa
The Brothers,Gabrielle Union
Hotel Rwanda,Tony Kgoroge
Rise of the Planet of the Apes,Christopher Gordon
Walking with Dinosaurs 3D,Justin Long
Civil Brand,Yasiin Bey
Sardaar Ji,Amrit Pal
Outbreak,Cuba Gooding Jr.
Promised Land,Joe Coyle
Central do Brasil,Othon Bastos
Kickboxer: Vengeance,Sam Medina
Menace II Society,Samuel L. Jackson
A Nightmare on Elm Street,"Amanda Wyss,Jsu Garcia"
Blades of Glory,Jenna Fischer
Miracle at St. Anna,Pierfrancesco Favino
Madea's Witness Protection,Romeo Miller
Scream 4,Anna Paquin
Dark Blue,Ving Rhames
The Forbidden Kingdom,Morgan Benoit
Birth,Alison Elliott
Days of Heaven,Robert J. Wilke
The Rookie,Angus T. Jones
Burnt,"Riccardo Scamarcio,Omar Sy"
G.I. Joe: The Rise of Cobra,"Joseph Gordon-Levitt,Leo Howard"
Florence Foster Jenkins,Nina Arianda
Hot Tub Time Machine,Sebastian Stan
Kids,Johnathan Staci Kim
Survivor,Frances de la Tour
Tuck Everlasting,Scott Bairstow
Light It Up,Judd Nelson
The Words,Zoe Saldana
Eye of the Beholder,"Patrick Bergin,k.d. lang"
Nick and Norah's Infinite Playlist,Ari Graynor
Monsters vs. Aliens,Kiefer Sutherland
Elizabeth: The Golden Age,"Laurence Fox,John Shrapnel"
Murderball,Christopher Igoe
The Texas Chainsaw Massacre: The Beginning,R. Lee Ermey
This Christmas,Keith Robinson
The Straight Story,Richard Farnsworth
Rubber,Ethan Cohn
The Adventures of Pinocchio,"Udo Kier,Bebe Neuwirth"
Hit and Run,Michael Rosenbaum
Chasing Amy,Casey Affleck
Gangs of New York,John C. Reilly
Scooby-Doo 2: Monsters Unleashed,Seth Green
Prom,Yin Chang
Shame,Nicole Beharie
Chacun sa nuit,Nicolas Nollet
Highlander: Endgame,Donnie Yen
Stone Cold,Sam McMurray
Thirteen Conversations About One Thing,Sig Libowitz
While We're Young,Matthew Maher
Journey from the Fall,Khanh Doan
The Lion King,Whoopi Goldberg
Rock Star,Jeff Pilson
Psycho,Martin Balsam
The Brothers McMullen,Edward Burns
Secret in Their Eyes,Alfred Molina
El mariachi,"Peter Marquardt,Reinol Martinez"
In the Company of Men,Mark Rector
The Matrix,Gloria Foster
American Graffiti,Cindy Williams
4: Rise of the Silver Surfer,Julian McMahon
The DUFF,Skyler Samuels
Mona Lisa Smile,Ginnifer Goodwin
Pain & Gain,Ed Harris
Running Scared,Karel Roden
The Perks of Being a Wallflower,Johnny Simmons
To Die For,Illeana Douglas
What's the Worst That Could Happen?,Carmen Ejogo
Hobo with a Shotgun,Gregory Smith
Reign of Fire,Scott Moutter
A Bridge Too Far,Hans von Borsody
Wonder Boys,Katie Holmes
City by the Sea,William Forsythe
Only God Forgives,Yayaying Rhatha Phongam
G.I. Joe: Retaliation,Ray Stevenson
Death Sentence,Stuart Lafferty
The Jungle Book,"Idris Elba,Lupita Nyong'o"
The Last Witch Hunter,"Elijah Wood,Rena Owen"
Antitrust,Douglas McFerran
Sommersturm,"Miriam Morgenstern,Alicja Bachleda"
The Last Exorcism Part II,Tarra Riggs
Living Out Loud,Richard Schiff
Time Bandits,Ian Holm
La otra conquista,"Elpidia Carrillo,Honorato Magaloni"
Hot Pursuit,"Michael Mosley,Robert Kazinsky"
The Notebook,Anthony-Michael Q. Thomas
Star Wars: Episode I - The Phantom Menace,Ian McDiarmid
The Master,Bruce Goodchild
The Trouble with Harry,Jerry Mathers
Into the Blue,Josh Brolin
22 Jump Street,Amber Stevens West
Identity Thief,T.I.
Man cheng jin dai huang jin jia,Dahong Ni
Nixon,Bob Hoskins
High Crimes,Amanda Peet
Unbreakable,Charlayne Woodard
All or Nothing,Parvez Qadir
The Three Burials of Melquiades Estrada,January Jones
Rise of the Guardians,Hugh Jackman
Mission to Mars,Jerry O'Connell
Draft Day,Mel Kiper
Compadres,"Kevin Pollak,Camila Sodi"
Bandits,"Cate Blanchett,Troy Garity"
Deliver Us from Evil,"Chris Coy,Dorian Missick"
DragonHeart,Jason Isaacs
The Mortal Instruments: City of Bones,Robert Sheehan
Viy,Vadim Zakharchenko
Kabhi Alvida Naa Kehna,Preity Zinta
Major Dundee,Michael Anderson Jr.
Vamps,Todd Barry
There Goes My Baby,Jill Schoelen
The Signal,Jeffrey Grover
The Tuxedo,Ritchie Coster
Desert Dancer,Simon Kassianides
Gothika,Bernard Hill
The Terminal,Diego Luna
A Most Wanted Man,Neil Malik Abdullah
Jennifer's Body,Sal Cortez
Nicholas Nickleby,Poppy Rogers
The Cooler,Ron Livingston
A View to a Kill,Patrick Macnee
Max Keeble's Big Move,Josh Peck
Silverado,Marvin J. McIntyre
Monsters,Justin Hall
Jack Reacher,"David Oyelowo,Werner Herzog"
The Grudge 2,Edison Chen
Multiplicity,Harris Yulin
Among Giants,Andy Serkis
The Martian,"Kristen Wiig,Jeff Daniels"
Mission: Impossible - Ghost Protocol,Michael Nyqvist
Severance,Tim McInnerny
A Dog of Flanders,Cheryl Ladd
Lady in White,Jason Presson
V for Vendetta,John Hurt
Burlesque,Julianne Hough
Blast from the Past,Dave Foley
A Lot Like Love,Lee Garlington
This Is the End,Danny McBride
Eastern Promises,Lalita Ahmed
Selena,Jon Seda
The Proposal,Betty White
Alexander,Val Kilmer
The Aviator,Alec Baldwin
The Bourne Ultimatum,Paddy Considine
The Long Kiss Goodnight,Tom Amandes
Do You Believe?,"Brian Bosworth,Delroy Lindo"
Die unendliche Geschichte,Nicholas Gilbert
A Few Good Men,Kiefer Sutherland
Pete's Dragon,Wes Bentley
Remember the Titans,Donald Faison
Some Like It Hot,Pat O'Brien
A Sound of Thunder,Wilfried Hochholdinger
Diamonds Are Forever,Jimmy Dean
Charlie Wilson's War,Terry Bozeman
2016: Obama's America,Dinesh D'Souza
Waitress,Andy Griffith
All About Steve,DJ Qualls
Chloe,R.H. Thomson
Come Early Morning,Christine Renee Ward
Oldeuboi,Dal-su Oh
The Man from Snowy River,Bruce Kerr
