William Hurt,191947391
Charlton Heston,74461914
Tommy Lee Jones,140362875
Ioan Gruffudd,82192232
Paul Sanchez,2589295
Brendan Fraser,20955701
Philip Seymour Hoffman,150156156
Seann William Scott,213936290
Simon Merrells,41915
Sam Worthington,27219610
Brandon Routh,8793448
Travis Fimmel,72187609
Jonah Hill,38230645
Kenneth Branagh,22041637
Julian Glover,316015
Robert Pattinson,11839506
Adam Driver,345150208
Skandar Keynes,208811587
Timothy Spall,47245220
Jerry Seinfeld,4252474
Heath Ledger,213417611
Josh Hutcherson,7144
Guy Pearce,1310736
Gabriel Byrne,241262
Craig T. Nelson,38801547
Trombone Shorty,61194602
Zach Galifianakis,8797464
Colin Farrell,137730867
Michael Jordan,125100000
Bill Nighy,19629492
Harrison Ford,354619940
Adam Beach,124350009
Mike Myers,36445659
Justin Long,4467015
Andrew Garfield,26457326
Robert Downey Jr.,699803076
Tom Cruise,26673067
Robert Duvall,48915020
Pierce Brosnan,760399
Justin Timberlake,69138307
Jake Gyllenhaal,17388032
Jeremy Irons,144693365
David Duchovny,792712
Hayden Christensen,43535
Lucas Black,1550724
Orlando Bloom,159213407
Matthew Modine,1394873
Daniel Craig,489762123
Neel Sethi,481950561
Martin Freeman,192086237
Brad Pitt,42750303
Djimon Hounsou,78792085
Channing Tatum,44858803
Bill Murray,198822528
Gene Hackman,26111138
Kevin Kline,8112651
Owen Wilson,3996726
Tobey Maguire,61560712
Val Kilmer,1833477
Wes Bentley,1873615
Said Faraj,13839087
Jason Segel,42620494
Stanley Tucci,234172
Larry Guy the Cable,5282284
John Cusack,26908152
Eric Sykes,3726223
Sam Neill,3878810
Logan Lerman,128195555
Tom Hanks,77646888
Antonio Banderas,136541
Hugh Jackman,47212955
Hiroyuki Sanada,210874238
Ray Galletti,119
Michael Keaton,209910515
Matt Long,616
Ed Harris,11662472
Matt Damon,180008160
Steve Martin,8308635
Barry Pepper,111623965
Patton Oswalt,63438
Kurt Russell,43300359
Robin Williams,1443110
Joaquin Phoenix,15457921
Eddie Murphy,3579377
Irrfan Khan,38295713
Matthew McConaughey,120351254
Billy Connolly,261276406
Shea Adams,43020396
Jet Li,26773680
Alberto Reyes,25703028
Damien Marzette,157794205
Hugh Laurie,34376792
David Morse,16594722
Henry Cavill,277827671
Chris Tucker,39402075
Sean Penn,77846617
Wayne Knight,39998
David McCullough,49571780
Ian Holm,537537124
Mark Wahlberg,26639560
James Earl Jones,175152012
Taylor Kitsch,581753
Matthew Broderick,12481208
Ian McKellen,220007
Hal Holbrook,1450303
Steve Coogan,149074633
Timothy Olyphant,12599711
Richard Harris,159319387
Terence Stamp,4563219
G.W. Bailey,36983
Christopher Shyer,14293508
Paul Bettany,455411281
Sandro Dori,50862175
James McAvoy,5529179
Samuel L. Jackson,58444983
Jaime FitzSimons,219854697
Steve Zahn,58207942
Garrett Hedlund,47902752
Charlie Cox,58326385
Geoffrey Rush,230567100
Michael Fassbender,9198488
D.B. Sweeney,716668
Chris Rock,4252474
Ryan Reynolds,158133248
Karl Urban,56133953
Keanu Reeves,4256867
Laurence Belcher,8124362
Noel Appleby,338102387
Brian Cox,1350707
Chaim Jeraffi,16841948
Shawn Levy,82650637
Jeff Kahn,43594666
Michael Cera,693475
Mel Gibson,3369318
Josh Keaton,1079996
Terrence Howard,14924
Jim Carrey,34059736
Clovis Cornillac,172366
Adewale Akinnuoye-Agbaje,134595153
Michael J. Fox,23499257
Eddie Baroo,4918481
Paul Rudd,192135043
Armie Hammer,33076540
Jamie Bell,44050282
Ben Barnes,28055756
Michael Gambon,1161877
John Samaha,29492663
Suraj Sharma,129466294
Albert Brooks,340986014
Bill Hader,182585104
James Cromwell,2883373
John Malkovich,18977193
Togo Igawa,19360
Rob Maxey,91677257
Patrick Swayze,3035073
Kevin James,43635109
Jai Courtney,246923351
Russell Crowe,184826165
Willem Dafoe,4599884
Seth Green,80834125
Michael Caine,99945912
Bradley Cooper,56622250
Peter Weller,77897137
Chris Hemsworth,182942103
Charlie Hunnam,81357189
Steve Buscemi,5117307
Frank Aldridge,175520209
Paul Giamatti,34893188
Bill Paxton,8408099
Mark Addy,31247064
Steve Carell,217050572
Will Smith,172690312
Sean Astin,80834125
Mark Ruffalo,251750692
Arnold Schwarzenegger,73742545
Billy Crudup,19656583
Mark Rylance,30710964
Max Charles,58222418
Michael Sheen,53854253
Jeff Bridges,62213299
Michael Rapaport,43753584
Chris Pratt,329451285
Jason Lee,39216013
Zachary Quinto,61783377
Brenton Thwaites,22298524
Hank Azaria,599710
Emile Hirsch,133750
Sullivan Stapleton,17359664
Benjamin Bratt,116645262
Jason Statham,66010531
Dustin Hoffman,464921
Ewan McGregor,9940312
Ben Affleck,294553382
Sam Spruell,124668404
Jack Nicholson,118293425
Gerard Butler,79662265
Michael Douglas,21729514
Colm Meaney,6741614
Campbell Scott,19928
Freddie Highmore,349190
Matthew Macfadyen,4354145
George Clooney,76251461
Gary Oldman,123719479
Colm Feore,53811
Denzel Washington,69171097
Jonathan Pryce,316015
Scott Glenn,122921847
Petr Ratimec,52649819
John Goodman,8869154
Dev Patel,33935272
Diego Klattenhoff,112781065
David Spade,4889773
Billy Bob Thornton,5584733
Patrick Stewart,15217
Jason Alexander,3874
Julio Oscar Mechoso,11303
John Turturro,3695399
Aziz Ansari,29877534
Levi Miller,21598615
Jackie Chan,49163599
Jon Voight,136367007
Jeffrey Wright,11206802
Jean-Marc Bory,89091892
Ron Perlman,133966390
Robert Redford,6120885
Liam Hemsworth,64607381
Jay Chou,42584427
Dan Fogler,136430913
Christian Bale,112649548
Chris Evans,427468549
Steve Valentine,12379643
Tom McGrath,61275151
Miguel Ferrer,693475
Tim Roth,25002364
Shia LaBeouf,35633890
Giovanni Ribisi,784269
Chris Pine,62330436
Jude Law,40268171
Chris Miller,109091248
Roscoe Lee Browne,14476429
Alan Howard,338102387
Ken Watanabe,186764
Igal Naor,3547481
Jim Parsons,144734
Christopher Eccleston,87596148
Neil Patrick Harris,111383628
Tim Allen,3019321
Carlinhos Brown,97503961
Ed Speleers,46254354
Ed Helms,24500000
Jack Black,26360464
Joel Edgerton,19642016
Andy Serkis,343110370
Rupert Grint,15398125
Kevin Costner,159629924
Vin Diesel,21872401
Christian Stolte,4722
Edward Norton,37623897
Sacha Baron Cohen,51027298
Tim Robbins,2325209
Nicolas Cage,8446408
Tyler Hoechlin,16539289
Jamie Kennedy,2450
Nicholas Hoult,62084935
Bruce Willis,170135
Ty Burrell,199456692
Ray Anthony,132846342
Ryan Potter,552619
Jake T. Austin,3483036
Jeremy Renner,224249037
Anthony Hopkins,5111227
Benjamin Walker,20180469
Theo James,124144496
Martin Lawrence,58901089
John C. Reilly,104178241
Jack Hawkins,105887
Lombardo Boyar,3054760
John Mills,44021268
F. Murray Abraham,415
Alan Cumming,8106361
Tate Donovan,25927486
Leonardo DiCaprio,287652661
Patrick Dempsey,187493805
Sylvester Stallone,28927930
Garry Shandling,309741984
William H. Macy,6367613
Daniel Day-Lewis,99035127
Jesse Eisenberg,150151771
Joseph Gordon-Levitt,24650443
Kevin Bacon,18313303
Morgan Freeman,38950376
Daniel Radcliffe,6438695
Freddie Prinze Jr.,1996185
Dougray Scott,13932184
Christoph Waltz,222565692
Richard Griffiths,219170139
Bruno Campos,90369442
Eric Bana,49029943
Tom Hardy,88825083
Andy Samberg,30704104
Haley Joel Osment,4845817
Paul Walker,12445264
Jamie Foxx,95911231
Jason Fricchione,338986837
Gary Sinise,119066981
Ben Kingsley,160650187
Cuba Gooding Jr.,266
Rory J. Saper,87783079
Jaden Smith,101162433
Ashton Kutcher,33232345
Will Arnett,47641546
Asa Butterfield,11023891
Danny Glover,10535299
Shawn Driscoll,18424165
Pablo Schreiber,1566666
John Travolta,27398
Charlie Rowe,3759863
Vince Vaughn,40357926
Jeff Goldblum,75166736
Billy Crystal,866666
Dan Aykroyd,102540263
Dakota Goyo,158566901
Chris Sanders,156786556
Mykelti Williamson,10265552
Robert De Niro,45233412
Adam Sandler,51247072
Max von Sydow,343700955
Max Records,39503853
Noah Ringer,213142587
Seth Rogen,23404719
