Actor1_Rev,Actor2_Rev,Year,YT_Count,YT_Likes,YT_Dislike,IMDBVotes,imdbRating,Budget,Revenue,Rated
38715291,0,2009,18990778,19326,2188,925227,7.8,237000000,2783918982,3
104642616,152387163,2007,2274557,7351,156,493768,7.1,300000000,309404152,3
372774112,178248658,2015,25936462,48171,2427,304624,6.8,245000000,879620923,3
217742101,152878928,2012,68870480,209174,6339,1201640,8.5,250000000,1084439099,3
54459400,0,2012,13896638,14274,1471,219058,6.6,263700000,282778100,3
30746754,0,2007,3592058,3959,2985,401611,6.2,258000000,336530303,3
0,53716876,2010,3962877,4513,518,308934,7.8,260000000,586581936,2
362607942,360722214,2015,99530702,575881,13615,506752,7.4,250000000,1404705868,3
15580079,17767513,2009,5872480,12461,436,347079,7.5,250000000,301920409,2
148995615,134307331,2016,63255285,358249,22034,458731,6.7,250000000,868160194,3
18104909,0,2006,1592368,6511,1041,245315,6.1,209000000,374085065,3
372774112,0,2008,1462170,2207,126,344843,6.6,200000000,591692078,3
104642616,121024732,2006,696056,1238,47,546306,7.3,225000000,423032628,3
104642616,63207483,2013,9244150,19930,1016,188527,6.5,215000000,260002115,3
134307331,0,2013,85909428,286330,13236,572128,7.1,225000000,667999518,3
80311078,0,2008,2019677,3160,157,157565,6.6,225000000,417341288,2
362607942,332615790,2012,148923848,740537,19643,1037900,8.1,220000000,1519479547,3
104642616,0,2011,14258442,35315,932,388416,6.7,250000000,1045663875,3
218238397,88956281,2012,20121821,73063,1476,276423,6.8,225000000,179020854,3
187715569,231173787,2014,48363626,213551,5863,379700,7.4,250000000,955119788,3
33468578,0,2012,27941738,90296,6724,468550,7,230000000,262030663,3
101365680,0,2010,915739,969,70,218712,6.7,200000000,322241588,3
187715569,231173787,2013,21039438,88637,2480,508689,7.9,225000000,960366855,3
0,372774112,2007,341348,707,50,153873,6.1,180000000,367262558,3
0,18400291,2005,34268015,176218,8182,330613,7.2,207000000,550517357,3
332615790,362607942,2016,115393152,779971,20272,394940,7.9,250000000,1151684349,3
54459400,0,2012,12215242,18764,1495,208139,5.8,209000000,305218228,3
230628981,0,2015,90509218,336029,16871,447969,7,150000000,1671640593,3
372774112,0,2012,36358544,74445,3278,543393,7.8,200000000,1110526981,3
30746754,0,2004,36449885,369073,20894,432655,7.3,200000000,373377893,3
362607942,0,2013,39028678,110343,4984,583743,7.2,200000000,408992272,3
104642616,0,2010,16662453,64697,2575,321381,6.5,200000000,319323000,2
87210690,0,2006,29084276,138670,7400,399409,6.7,210000000,234300000,3
99925140,112889565,2013,7795859,21639,1703,249616,7.3,200000000,743588329,1
188565799,0,2009,9694676,12615,1541,333719,6,200000000,836519699,3
144799396,92866968,2014,14961576,33050,1783,251855,5.7,210000000,1104039076,3
33468578,0,2014,50866452,181299,11392,337618,6.7,200000000,183277573,3
101324047,79943701,2010,15416553,29028,1100,271531,6.8,170000000,397562763,2
0,20660375,2011,6264059,3227,877,107653,6.3,200000000,191450875,1
161180668,0,2011,3338252,4364,408,230069,5.6,200000000,116600000,3
57619771,15245929,2010,15054470,12218,1889,577064,8.3,200000000,414984497,1
217742101,38715291,2009,2217579,2636,311,294545,6.6,200000000,365491792,3
108476005,54654188,2015,94463807,447900,13192,293887,7.2,190000000,316986481,3
85343206,0,2013,24942215,60104,4534,489208,7,190000000,531514650,3
87210690,19626708,2014,73307082,251047,11121,540747,8,200000000,199305306,3
100914781,98366487,2013,11260909,26507,1440,414250,7.8,190000000,467381584,3
45923434,0,2013,7533537,10740,1026,110728,6.3,195000000,197687603,3
0,175520209,2013,4776801,18978,382,380366,7.3,105000000,351040419,3
37667610,0,2010,5035144,6739,371,230360,6.6,200000000,314594597,3
43624368,37958538,2013,26091638,75528,3595,396073,7,190000000,411002906,3
188565799,0,2011,25855573,48067,2303,335278,6.3,195000000,1123790543,3
184932277,0,2008,6952553,42018,836,347638,6.2,185000000,786558145,3
72418822,0,2015,28010439,72170,5173,75738,6.8,185000000,334342692,2
0,136473177,2012,17679249,40822,3145,288890,7.2,185000000,554606532,2
100914781,98366487,2016,8133859,42089,2876,154036,7.1,185000000,336398312,3
56274162,54210376,2007,3941177,17027,590,125309,6.2,140000000,140080850,3
9379170,0,2009,12149251,12731,2612,293855,5.8,200000000,166112167,3
36465685,3909360,2009,3450728,5022,304,77870,6.8,200000000,137816456,2
0,96576880,2015,17488735,40189,3181,148267,5.4,176000000,181982519,3
0,87783079,2016,47954518,180669,11244,110963,6.3,180000000,349143061,3
0,178981360,2005,1241723,798,53,300871,6.9,180000000,291685219,2
19626708,32026982,2016,76455675,446323,26648,253845,7.1,178000000,135729385,3
217742101,72457700,2008,40758213,114690,3538,1768567,9,185000000,1002891358,3
0,7077825,2009,7404753,8033,686,711795,8.3,175000000,731542621,2
0,27098853,2009,916167,224,30,119668,6.5,175000000,198332128,2
362607942,16265203,2008,53796692,348217,19666,729172,7.9,140000000,584604126,3
84635231,41647529,2011,6308840,10001,832,256838,7.5,170000000,180047784,2
218238397,23392420,1999,578102,677,56,133328,4.8,170000000,221229335,3
57219513,72968389,2008,571107,761,70,122564,5.2,145000000,405760225,3
218238397,219854697,2016,94556958,715662,20407,366780,6.3,175000000,746100054,3
122063724,78297584,2007,388858,223,15,118208,5.4,175000000,174131329,2
183502020,0,2014,20569321,50652,2722,464876,7.9,178000000,364406256,3
112100478,27597310,1995,2105125,2119,225,148906,6.1,175000000,264246220,3
103088501,79088550,2009,311611,542,27,178956,5.8,175000000,150167630,3
481950561,91776617,2016,44074808,151906,7355,185876,7.5,175000000,963901123,2
362607942,0,2010,4710571,8269,387,547779,7,200000000,312057433,3
0,360722214,2012,3415206,5905,319,238065,6.1,170000000,401021746,3
356876604,105108661,2014,29800805,79330,4269,333265,7.6,170000000,703545589,3
9024615,116984074,2013,18320772,45280,2048,122392,6.3,175000000,20518224,3
332615790,49706392,2014,31493522,86313,3386,533233,7.8,170000000,714401889,3
119637182,117777459,2010,513802,674,70,145618,6.3,165000000,756244673,2
104329638,58454077,2015,41880136,217053,8181,140337,6.5,190000000,205336322,2
58595841,0,2012,6751318,18524,1202,287420,7.8,165000000,189412677,2
57619771,0,2004,796537,1566,95,129945,6.6,165000000,319090241,1
113821249,48718288,2016,37609036,132269,8932,118591,5.3,165000000,387644286,3
21686761,82109392,2010,6331069,19931,638,512743,8.2,165000000,494870991,2
62940472,185175,2003,2446127,1836,188,316081,6.4,200000000,150252753,4
230628981,0,2014,12506255,109523,1714,737811,8.1,170000000,771172112,3
0,136558130,2014,30588173,84453,3583,1023236,8.6,165000000,665417894,3
220027943,152842629,2010,5443255,12869,349,1557867,8.8,160000000,832584416,3
187715569,231173787,2012,5684307,19677,485,663528,7.9,180000000,1017003568,3
54654188,108476005,2001,30838433,248558,12476,282637,6.7,38000000,206512310,3
0,85343206,2008,3117414,5763,211,480870,7.8,150000000,329809326,3
19626708,4147598,2011,51155950,160132,7573,542108,7.8,160000000,145300000,3
0,132569239,2015,32904769,222896,5318,197267,6.6,160000000,254641329,3
5289101,21686761,2010,2580117,3292,232,129618,6.1,150000000,63143812,2
25580641,53252595,2006,706581,1266,85,84534,5.6,160000000,181674817,3
104642616,0,2016,13953549,87467,2769,53396,6.2,170000000,277442381,2
119637182,117777459,2007,552252,147,19,222029,6.1,160000000,807330936,2
28949466,0,2016,26223479,142005,8681,180464,7,160000000,433125655,3
62940472,105108661,2015,49693334,139287,14858,201918,6.5,155000000,440160956,3
0,178981360,2010,5356630,11718,389,111896,6.3,155000000,418186950,2
148995615,45718,2001,1548977,2446,109,265058,6.1,140000000,449239855,3
188565799,0,2007,12599574,62266,4823,525815,7.1,150000000,708272592,3
80045696,48034,2004,10709050,15100,1857,143006,5.5,155000000,167297191,4
15580079,254396861,2007,647844,2431,54,380093,7.5,150000000,942943935,3
62803362,20769943,2005,996665,3568,104,412718,7.7,150000000,896911078,3
218238397,0,2008,455452,876,39,361998,6.4,150000000,624234272,3
218238397,0,2007,4827006,8372,321,559706,7.2,150000000,585532684,3
104642616,68830627,2005,1889003,3848,306,337871,6.7,150000000,475825484,2
1945670,264546257,2007,570042,522,59,499123,8,150000000,626549695,1
217742101,239839671,2005,1197186,4403,125,1034363,8.3,150000000,359142722,3
0,19261972,2008,7479571,2806,523,155395,6.7,150000000,179982968,2
87210690,16417213,2009,775308,1906,73,377780,6.7,150000000,179737340,3
92941240,0,2003,574179,1430,47,434549,7.2,150000000,738576929,4
360722214,0,2013,21167872,80610,2752,435623,7,170000000,644602516,3
131643068,0,2015,49326284,157354,8437,616228,8.1,150000000,370742166,4
57619771,152579280,2009,2600754,3625,829,223793,6.7,150000000,133375846,3
360722214,0,2011,62033757,217552,9775,563376,7,150000000,449326618,3
58368048,0,2008,1806081,378,35,153173,6.9,150000000,328015209,2
12194110,116056753,2009,1703922,1426,194,34206,5.1,150000000,119420252,2
38715291,5982169,2012,15756802,23578,1254,157792,5.8,150000000,305270083,3
104642616,0,2012,1954895,7154,287,207359,6.2,100000000,238202668,3
183502020,292860121,2015,23983097,56707,2015,253223,7.4,150000000,154979949,3
7588663,0,2010,818792,1742,76,91602,5.8,150000000,142634358,4
0,87783079,2016,47954518,180669,11244,110963,6.3,180000000,349143061,3
20311407,0,2007,1174563,2893,481,111053,6.2,150000000,287594577,2
18400291,0,2011,14887546,36647,1864,193884,7.3,150000000,165230261,2
213142587,90863543,2010,9616805,13035,4241,123543,4.2,150000000,319713881,2
183502020,69919865,2006,896411,709,32,267735,6.9,150000000,397501348,3
96576880,133746607,2013,10926848,8040,901,171919,6.4,150000000,205440387,3
37311727,116290774,2011,1176906,1262,475,18167,5.4,150000000,39549758,2
87210690,0,2006,245221,33,5,89181,6.6,149000000,179357126,2
87210690,16315388,2015,19141918,61681,4776,46851,5.8,150000000,123888320,2
75991495,65779752,2014,12294525,24648,2861,50468,6.9,145000000,101784999,2
11055595,19426684,2004,1483430,1991,104,400105,7.2,175000000,484161265,4
0,19261972,2012,8016764,11979,1127,125069,6.9,145000000,216366733,2
5864146,0,2002,280102,388,44,175285,6.1,142000000,431942139,3
91776617,75627836,2016,47935066,333853,1132225,285775,7.8,144000000,229034050,2
55956848,44397438,1998,6165115,6654,471,334420,6.6,140000000,554600000,3
88956281,218238397,2002,1297547,1125,86,277032,6.1,140000000,190400000,3
0,80045696,2007,838892,757,115,145014,6.2,150000000,194995215,3
18400291,42957951,2016,38643992,130036,6066,87362,7.2,145000000,128341070,2
183502020,0,2011,740652,1038,67,378932,7.4,145000000,209364921,3
100914781,5792276,2012,13792163,45442,1542,129379,7.3,145000000,306900902,2
36465685,0,2005,720157,694,42,113972,6.1,100000000,203018919,3
203191039,183502020,2003,1351857,2105,97,329525,7.7,140000000,456810575,4
217742101,62176645,2014,20087524,39649,4441,135686,6,140000000,268314513,3
100914781,98366487,2009,7771436,37515,2582,523560,8,150000000,385680446,3
30746754,95577742,2002,60246101,686863,38958,568088,7.3,139000000,403706375,3
21686761,0,2014,28467581,120846,4064,234733,7.9,145000000,147065544,2
62008415,14746331,2016,26168693,73580,16797,70821,5.5,140000000,133553464,3
25580641,0,2005,1236928,883,95,46266,5,135000000,76416746,3
0,26396617,2009,988088,1427,42,407022,7.6,130000000,184068357,4
103691716,0,2003,3364768,5527,646,218508,5.7,137000000,245229234,3
71395927,4646016,2013,24309041,36664,1766,150864,5.8,130000000,122512052,3
136558130,41882872,2005,501009,62,4,79411,6,130000000,68642452,3
0,5792276,2001,342566,477,34,74395,6.4,137000000,85131830,3
332615790,0,2011,10291366,20385,897,539921,6.9,140000000,370569776,3
5864146,0,1999,7371536,36845,672,162036,6.4,135000000,361730660,3
101365680,264405066,2003,481540,558,29,172974,7.4,150000000,212912137,3
0,97349759,2012,48485592,113136,14945,192601,5.5,120000000,292298923,3
0,44202228,2011,8309650,7585,927,33956,5.9,135000000,63992328,2
81475107,0,2008,2729128,4696,554,338576,6.8,150000000,263417913,3
93196236,133746607,2006,993068,1238,94,95287,6,1500000,63400000,4
16707767,0,2016,15915069,51883,3463,46359,6.4,140000000,55472665,2
220027943,131643068,2015,48589882,125911,4635,488262,8,135000000,532950503,4
161180668,45347686,2013,13390498,16498,2067,65146,6.5,135000000,286896578,2
104642616,0,2011,3270303,3654,214,191068,7.2,135000000,245504574,2
163306314,266744817,2014,4950178,14741,531,63510,6.7,132000000,367650911,2
