Actor1_Rev,Actor2_Rev,YT_Count,YT_Dislike,IMDBVotes,Revenue
38715291,0,18990778,2188,925227,2783918982
104642616,152387163,2274557,156,493768,309404152
372774112,178248658,25936462,2427,304624,879620923
217742101,152878928,68870480,6339,1201640,1084439099
54459400,0,13896638,1471,219058,282778100
30746754,0,3592058,2985,401611,336530303
0,53716876,3962877,518,308934,586581936
362607942,360722214,99530702,13615,506752,1404705868
15580079,17767513,5872480,436,347079,301920409
148995615,134307331,63255285,22034,458731,868160194
18104909,0,1592368,1041,245315,374085065
372774112,0,1462170,126,344843,591692078
104642616,121024732,696056,47,546306,423032628
104642616,63207483,9244150,1016,188527,260002115
134307331,0,85909428,13236,572128,667999518
80311078,0,2019677,157,157565,417341288
362607942,332615790,148923848,19643,1037900,1519479547
104642616,0,14258442,932,388416,1045663875
218238397,88956281,20121821,1476,276423,179020854
187715569,231173787,48363626,5863,379700,955119788
33468578,0,27941738,6724,468550,262030663
101365680,0,915739,70,218712,322241588
187715569,231173787,21039438,2480,508689,960366855
0,372774112,341348,50,153873,367262558
0,18400291,34268015,8182,330613,550517357
332615790,362607942,115393152,20272,394940,1151684349
54459400,0,12215242,1495,208139,305218228
230628981,0,90509218,16871,447969,1671640593
372774112,0,36358544,3278,543393,1110526981
30746754,0,36449885,20894,432655,373377893
362607942,0,39028678,4984,583743,408992272
104642616,0,16662453,2575,321381,319323000
87210690,0,29084276,7400,399409,234300000
99925140,112889565,7795859,1703,249616,743588329
188565799,0,9694676,1541,333719,836519699
144799396,92866968,14961576,1783,251855,1104039076
33468578,0,50866452,11392,337618,183277573
101324047,79943701,15416553,1100,271531,397562763
0,20660375,6264059,877,107653,191450875
161180668,0,3338252,408,230069,116600000
57619771,15245929,15054470,1889,577064,414984497
217742101,38715291,2217579,311,294545,365491792
108476005,54654188,94463807,13192,293887,316986481
85343206,0,24942215,4534,489208,531514650
87210690,19626708,73307082,11121,540747,199305306
100914781,98366487,11260909,1440,414250,467381584
45923434,0,7533537,1026,110728,197687603
0,175520209,4776801,382,380366,351040419
37667610,0,5035144,371,230360,314594597
43624368,37958538,26091638,3595,396073,411002906
188565799,0,25855573,2303,335278,1123790543
184932277,0,6952553,836,347638,786558145
72418822,0,28010439,5173,75738,334342692
0,136473177,17679249,3145,288890,554606532
100914781,98366487,8133859,2876,154036,336398312
56274162,54210376,3941177,590,125309,140080850
9379170,0,12149251,2612,293855,166112167
36465685,3909360,3450728,304,77870,137816456
0,96576880,17488735,3181,148267,181982519
0,87783079,47954518,11244,110963,349143061
0,178981360,1241723,53,300871,291685219
19626708,32026982,76455675,26648,253845,135729385
217742101,72457700,40758213,3538,1768567,1002891358
0,7077825,7404753,686,711795,731542621
0,27098853,916167,30,119668,198332128
362607942,16265203,53796692,19666,729172,584604126
84635231,41647529,6308840,832,256838,180047784
218238397,23392420,578102,56,133328,221229335
57219513,72968389,571107,70,122564,405760225
218238397,219854697,94556958,20407,366780,746100054
122063724,78297584,388858,15,118208,174131329
183502020,0,20569321,2722,464876,364406256
112100478,27597310,2105125,225,148906,264246220
103088501,79088550,311611,27,178956,150167630
481950561,91776617,44074808,7355,185876,963901123
362607942,0,4710571,387,547779,312057433
0,360722214,3415206,319,238065,401021746
356876604,105108661,29800805,4269,333265,703545589
9024615,116984074,18320772,2048,122392,20518224
332615790,49706392,31493522,3386,533233,714401889
119637182,117777459,513802,70,145618,756244673
104329638,58454077,41880136,8181,140337,205336322
58595841,0,6751318,1202,287420,189412677
57619771,0,796537,95,129945,319090241
113821249,48718288,37609036,8932,118591,387644286
21686761,82109392,6331069,638,512743,494870991
62940472,185175,2446127,188,316081,150252753
230628981,0,12506255,1714,737811,771172112
0,136558130,30588173,3583,1023236,665417894
220027943,152842629,5443255,349,1557867,832584416
187715569,231173787,5684307,485,663528,1017003568
54654188,108476005,30838433,12476,282637,206512310
0,85343206,3117414,211,480870,329809326
19626708,4147598,51155950,7573,542108,145300000
0,132569239,32904769,5318,197267,254641329
5289101,21686761,2580117,232,129618,63143812
25580641,53252595,706581,85,84534,181674817
104642616,0,13953549,2769,53396,277442381
119637182,117777459,552252,19,222029,807330936
28949466,0,26223479,8681,180464,433125655
62940472,105108661,49693334,14858,201918,440160956
0,178981360,5356630,389,111896,418186950
148995615,45718,1548977,109,265058,449239855
188565799,0,12599574,4823,525815,708272592
80045696,48034,10709050,1857,143006,167297191
15580079,254396861,647844,54,380093,942943935
62803362,20769943,996665,104,412718,896911078
218238397,0,455452,39,361998,624234272
218238397,0,4827006,321,559706,585532684
104642616,68830627,1889003,306,337871,475825484
1945670,264546257,570042,59,499123,626549695
217742101,239839671,1197186,125,1034363,359142722
0,19261972,7479571,523,155395,179982968
87210690,16417213,775308,73,377780,179737340
92941240,0,574179,47,434549,738576929
360722214,0,21167872,2752,435623,644602516
131643068,0,49326284,8437,616228,370742166
57619771,152579280,2600754,829,223793,133375846
360722214,0,62033757,9775,563376,449326618
58368048,0,1806081,35,153173,328015209
12194110,116056753,1703922,194,34206,119420252
38715291,5982169,15756802,1254,157792,305270083
104642616,0,1954895,287,207359,238202668
183502020,292860121,23983097,2015,253223,154979949
7588663,0,818792,76,91602,142634358
0,87783079,47954518,11244,110963,349143061
20311407,0,1174563,481,111053,287594577
18400291,0,14887546,1864,193884,165230261
213142587,90863543,9616805,4241,123543,319713881
183502020,69919865,896411,32,267735,397501348
96576880,133746607,10926848,901,171919,205440387
37311727,116290774,1176906,475,18167,39549758
87210690,0,245221,5,89181,179357126
87210690,16315388,19141918,4776,46851,123888320
75991495,65779752,12294525,2861,50468,101784999
11055595,19426684,1483430,104,400105,484161265
0,19261972,8016764,1127,125069,216366733
5864146,0,280102,44,175285,431942139
91776617,75627836,47935066,1132225,285775,229034050
55956848,44397438,6165115,471,334420,554600000
88956281,218238397,1297547,86,277032,190400000
0,80045696,838892,115,145014,194995215
18400291,42957951,38643992,6066,87362,128341070
183502020,0,740652,67,378932,209364921
100914781,5792276,13792163,1542,129379,306900902
36465685,0,720157,42,113972,203018919
203191039,183502020,1351857,97,329525,456810575
217742101,62176645,20087524,4441,135686,268314513
100914781,98366487,7771436,2582,523560,385680446
30746754,95577742,60246101,38958,568088,403706375
21686761,0,28467581,4064,234733,147065544
62008415,14746331,26168693,16797,70821,133553464
25580641,0,1236928,95,46266,76416746
0,26396617,988088,42,407022,184068357
103691716,0,3364768,646,218508,245229234
71395927,4646016,24309041,1766,150864,122512052
136558130,41882872,501009,4,79411,68642452
0,5792276,342566,34,74395,85131830
332615790,0,10291366,897,539921,370569776
5864146,0,7371536,672,162036,361730660
101365680,264405066,481540,29,172974,212912137
0,97349759,48485592,14945,192601,292298923
0,44202228,8309650,927,33956,63992328
81475107,0,2729128,554,338576,263417913
93196236,133746607,993068,94,95287,63400000
16707767,0,15915069,3463,46359,55472665
220027943,131643068,48589882,4635,488262,532950503
161180668,45347686,13390498,2067,65146,286896578
104642616,0,3270303,214,191068,245504574
163306314,266744817,4950178,531,63510,367650911
136623867,0,1386070,51,517999,442161562
18400291,31359653,25317356,4259,325149,631910531
98867410,27872684,21762191,4688,358276,138002223
0,113821249,47471262,6242,517990,864868047
0,97349759,48485592,14945,192601,292298923
11007263,0,26692394,4783,75959,157801252
183502020,0,734606,272,348802,606836535
65098309,218238397,714065,25,184869,273271982
20112518,0,6604317,519,118869,554987477
0,16417213,8458930,566,254026,290650494
101365680,0,22242113,5874,207144,352831065
107910331,356876604,2599549,303,182707,373993951
15580079,131615799,1389911,141,408744,796688549
43020396,2756172,5627869,946,105180,215080810
114287529,218238397,18186413,3450,164997,251499665
2747572,0,18160194,3191,40088,356148063
41032053,0,6045953,597,0,356546621
33190637,85343206,1867614,142,182100,321887208
48674648,0,4946329,921,478743,317557891
101324047,161180668,6289395,1210,95826,33500000
104642616,152387163,965913,82,849484,634954103
0,132569239,37040810,4578,326810,295457212
57619771,0,854871,93,333691,767820459
31776126,97503961,6011708,1289,61921,113691800
7558994,87210690,20099473,7529,422356,214813155
108476005,54654188,8222330,360,294510,629969804
362607942,56830970,1291568,116,352014,535663443
38715291,5982169,179279,21,235875,163100000
62940472,0,4212176,833,250129,211856088
292860121,77508927,16930299,1603,241885,280355920
36465685,0,2404309,80,151245,259011600
10621434,37667610,1253686,104,346410,556319450
183502020,6451401,667377,15,253333,397501348
104329638,144799396,466034,41,136569,328711434
43478283,0,1223954,91,218926,131766943
129466294,146505290,1892802,357,463028,607987022
16354308,0,1945992,228,188869,229545589
136623867,88956281,15238543,2288,143037,416197059
